B168XC799,30.10.2021,43948,13.14
B270XC799,30.10.2021,45346,1.86
B284XC799,30.10.2021,35368,6.21
E148PK198,30.10.2021,80931,12.73
E327HH198,30.10.2021,55784,5.91
А500НО702,14.08.2021,42647,0.37
А939ОУ51,31.07.2021,126728,0.27
А978УТ702,31.08.2021,31342,2.85
В075ХС799,30.09.2021,23239,1.43
В158ХН799,30.11.2021,41684,0.11
В294ХС799,31.08.2021,18437,0.52
В386ХС799,19.07.2021,8873,0.64
В623МВ763,19.06.2021,42331,0.2
В665РМ763,30.10.2021,56032,6.14
Е055РК198,11.09.2021,58415,0.09
Е205РК198,02.10.2021,79893,2.41
Е585АК797,03.08.2021,88529,2.81
Е589АЕ797,13.09.2021,59256,0.05
Е970ОК198,30.10.2021,90544,4.56
Е996ТН799,08.07.2021,48578,0.03
К002НМ134,25.09.2021,15247,0.83
К007НМ134,28.08.2021,14371,0.26
К051АЕ193,03.08.2021,52433,0.14
К071АЕ193,02.10.2021,64245,4.14
К121СО799,06.09.2021,27713,0.27
К165ХН799,30.10.2021,32442,12.6
К298ХН799,30.10.2021,31047,2.69
К315НК134,18.08.2021,11330,0.37
К337ХН799,30.10.2021,30776,0.23
К456РЕ799,04.09.2021,69788,0.19
К583РЕ799,08.10.2021,76126,2.72
К599РЕ799,21.08.2021,68391,0.05
К601РХ799,12.06.2021,24795,0.27
К677РЕ799,30.09.2021,63294,7.04
К719ТК198,30.10.2021,18196,4.37
К760ТК198,30.10.2021,38754,6.55
К774ТК198,30.10.2021,43716,8.94
К819ТК198,30.10.2021,15312,1.38
К898ТК198,30.09.2021,16506,7.05
К937РЕ799,31.08.2021,53326,0.41
Н058АМ193,30.10.2021,51052,1.57
Н059РХ799,27.02.2021,40997,0.43
Н083АМ193,30.10.2021,56303,0.08
Н199РХ799,12.03.2021,35508,0.16
Н412РХ799,04.09.2021,55643,0.31
Н425ВЕ761,21.08.2021,17296,0.76
Н468ВЕ761,31.08.2021,16349,0.28
Н683ВН761,14.08.2021,33097,0.41
Н695ВН761,11.09.2021,23430,0.61
Н770ОХ799,30.09.2021,97773,5.22
Н848ОХ799,17.02.2021,46899,0.13
Н990ОХ799,19.06.2021,45373,0.07
О324АА193,31.08.2021,61714,0.03
О403СХ799,31.08.2021,67623,4.1
О440СХ799,15.05.2021,23612,0.18
О452АА193,31.08.2021,38894,0.07
О581ХК123,30.06.2021,42941,0.91
О647АТ761,31.08.2021,61923,1.08
О650АТ761,31.08.2021,52259,6.24
О696ВО761,07.08.2021,11974,0.11
О707СХ799,31.08.2021,60578,5.49
О711СХ799,27.08.2021,53411,0.54
О729ВО761,30.09.2021,21036,1.17
О760ВО761,30.10.2021,26874,0.8
О768ВО761,30.10.2021,28969,10.86
О783ВО761,30.10.2021,25704,0.46
Р270АТ799,16.06.2021,45407,0.14
Р349ТХ799,31.08.2021,44559,1.74
Р369ТХ799,21.08.2021,52664,0.08
С935ОК799,30.10.2021,77497,17.37
Т015ХР799,30.10.2021,18682,5.74
Т103ХР799,30.10.2021,30741,14.21
Т537АЕ193,31.08.2021,41727,1.44
Т545АЕ193,31.08.2021,52547,0.26
У031ТО799,31.08.2021,49763,0.14
У047ТО799,31.08.2021,37407,2.31
У050ТО799,18.09.2021,48253,1.18
У072ТО799,22.10.2021,66176,2.03
У460ОМ799,30.10.2021,81091,6.03
Х069АН193,30.11.2021,54081,1.78
Х074АВ193,31.08.2021,75783,0.37
Х600ТХ799,06.09.2021,41890,0.74
